Tanggal,Harga Rata-rata/kg ,Temperatur minimum (°C),Temperatur maksimum(°C),Temperatur rata-rata(°C),Kelembapan rata-rata(%),Curah hujan(mm),Lamanya penyinaran matahari(jam),Luas Tanam (Ha),Luas Panen (Ha),Produksi (Ton)
06-20-2022,4.071,22.8,31.6,26.4,87,8888,7.2,"46.226,00",45.593,1.054.322
06-21-2022,4.071,22.8,32.6,26.4,83,8888,6,"46.226,00",45.593,1.054.322
06-22-2022,4.286,23.6,32.5,26.7,83,0,6.5,"46.226,00",45.593,1.054.322
06-23-2022,4.357,22,31.6,25.9,84,0,8.7,"46.226,00",45.593,1.054.322
06-24-2022,4.357,23.1,31.2,26.6,84,8888,6.4,"46.226,00",45.593,1.054.322
06-25-2022,4.357,23.2,30.6,26.1,86,0,7.2,"46.226,00",45.593,1.054.322
06-26-2022,4.357,23.2,29.8,25.7,89,0,3.5,"46.226,00",45.593,1.054.322
06-27-2022,4.357,23,29.2,25.7,88,8.8,1.3,"46.226,00",45.593,1.054.322
06-28-2022,4.357,22.2,30.8,25.2,81,0,1,"46.226,00",45.593,1.054.322
06-29-2022,4.357,21,30.2,24.7,83,-,9.4,"46.226,00",45.593,1.054.322
06-30-2022,4.357,20.9,31,25,80,-,9.7,"46.226,00",45.593,1.054.322
07-01-2022,4.357,20.2,31.4,24.9,84,0,8.7,"46.226,00",45.593,1.054.322
07-02-2022,4.357,21.5,30.9,26.2,84,-,7.5,"46.226,00",45.593,1.054.322
07-03-2022,4.357,23.1,32.4,26.5,89,-,4.8,"46.226,00",45.593,1.054.322
07-04-2022,4.357,23.4,33.6,26.7,89,7.5,5.7,"46.226,00",45.593,1.054.322
07-05-2022,4.357,22.8,31.9,26.5,88,0,5.5,"46.226,00",45.593,1.054.322
07-06-2022,4.357,24.1,30.2,26.5,88,-,8.1,"46.226,00",45.593,1.054.322
07-07-2022,4.357,22,31.1,25.5,84,8888,3.5,"46.226,00",45.593,1.054.322
07-08-2022,4.357,22,30,25,83,0,9.1,"46.226,00",45.593,1.054.322
07-09-2022,4.357,20.6,28.8,24,85,0,8,"46.226,00",45.593,1.054.322
07-10-2022,4.357,20.7,30.7,24.9,84,0,5.2,"46.226,00",45.593,1.054.322
07-11-2022,4.357,22,31.7,25.3,88,0,7.1,"46.226,00",45.593,1.054.322
07-12-2022,4.357,22,32.1,26.7,85,-,4.9,"46.226,00",45.593,1.054.322
07-13-2022,4.357,23.8,31,26.5,88,8888,6.2,"46.226,00",45.593,1.054.322
07-14-2022,4.357,23.8,32.2,26.6,88,4.7,4,"46.226,00",45.593,1.054.322
07-15-2022,4.357,23.8,31.5,26.3,86,0,4.9,"46.226,00",45.593,1.054.322
07-16-2022,4.357,23,27.9,24.6,90,8888,3.5,"46.226,00",45.593,1.054.322
07-17-2022,4.357,22.8,31,26.1,86,8888,0,"46.226,00",45.593,1.054.322
07-18-2022,4.357,22.5,30.3,25.6,86,0,3.4,"46.226,00",45.593,1.054.322
07-19-2022,4.357,22.9,32.2,26.7,76,-,4.4,"46.226,00",45.593,1.054.322
07-20-2022,4.357,21,31,25,86,-,8.8,"46.226,00",45.593,1.054.322
07-21-2022,4.429,21.7,29.9,25.1,87,0,7.9,"46.226,00",45.593,1.054.322
07-22-2022,4.429,21.8,30.2,25.8,83,0,3.3,"46.226,00",45.593,1.054.322
07-23-2022,4.429,22.6,29.4,25.3,88,-,4.2,"46.226,00",45.593,1.054.322
07-24-2022,4.429,23.3,30.7,26.1,77,8888,1.3,"46.226,00",45.593,1.054.322
07-25-2022,4.429,19.8,30.2,24,77,-,7.5,"46.226,00",45.593,1.054.322
07-26-2022,4.429,18,31,23.6,81,0,7.5,"46.226,00",45.593,1.054.322
07-27-2022,4.429,19.1,31.2,25.3,83,0,9.9,"46.226,00",45.593,1.054.322
07-28-2022,4.429,21.8,31.2,25.7,86,0,6.2,"46.226,00",45.593,1.054.322
07-29-2022,4.429,21.6,31.4,25.4,85,0,3.8,"46.226,00",45.593,1.054.322
07-30-2022,4.429,21.4,30.6,24.8,88,0,7.7,"46.226,00",45.593,1.054.322
07-31-2022,4.429,21,30.4,24.8,85,-,7,"46.226,00",45.593,1.054.322
08-01-2022,4.429,21.8,32.2,25.6,86,0,7.7,"46.226,00",45.593,1.054.322
08-02-2022,4.429,23,31,25.6,88,0,9,"46.226,00",45.593,1.054.322
08-03-2022,4.429,22.4,31,25.9,87,0,4.8,"46.226,00",45.593,1.054.322
08-04-2022,4.429,22.4,32.8,26.1,82,0,6.9,"46.226,00",45.593,1.054.322
08-05-2022,4.429,20,31.6,24.7,80,0,9.1,"46.226,00",45.593,1.054.322
08-06-2022,4.429,20.8,31,24.9,84,0,9.7,"46.226,00",45.593,1.054.322
08-07-2022,4.429,22.6,29.6,25.4,86,6,9.5,"46.226,00",45.593,1.054.322
08-08-2022,4.429,21.8,30.6,25.5,82,0,7.5,"46.226,00",45.593,1.054.322
08-09-2022,4.429,22.8,31.6,26.2,82,0,7.8,"46.226,00",45.593,1.054.322
08-10-2022,4.429,23.8,31.2,26.4,84,0,6.5,"46.226,00",45.593,1.054.322
08-11-2022,4.429,23.8,30,25.8,90,-,5.5,"46.226,00",45.593,1.054.322
08-12-2022,4.429,24.8,31.6,26.7,90,0,3,"46.226,00",45.593,1.054.322
08-13-2022,4.429,22.3,30.8,25.3,89,65.1,5.6,"46.226,00",45.593,1.054.322
08-14-2022,4.429,22.4,30.6,25.6,89,1.9,4.8,"46.226,00",45.593,1.054.322
08-15-2022,4.429,23.2,32.8,26.7,87,8888,5.3,"46.226,00",45.593,1.054.322
08-16-2022,4.429,24.3,31.6,26.6,87,1,8,"46.226,00",45.593,1.054.322
08-17-2022,4.429,23.4,-,26.4,84,0,7.5,"46.226,00",45.593,1.054.322
08-18-2022,4.429,23.8,31.2,26.2,84,0,9.5,"46.226,00",45.593,1.054.322
08-19-2022,4.429,22.6,30,25.3,84,0,7.9,"46.226,00",45.593,1.054.322
08-20-2022,4.429,21.8,31.4,25.5,81,0,6.2,"46.226,00",45.593,1.054.322
08-21-2022,4.429,22.1,29.8,26,86,0,9,"46.226,00",45.593,1.054.322
08-22-2022,4.429,21.5,31.2,26.1,79,0,4,"46.226,00",45.593,1.054.322
08-23-2022,4.429,22,31.2,25.6,81,0,7.5,"46.226,00",45.593,1.054.322
08-24-2022,4.429,21.8,31,25.2,82,0,8.9,"46.226,00",45.593,1.054.322
08-25-2022,4.429,22.4,31,25.8,81,0,8.7,"46.226,00",45.593,1.054.322
08-26-2022,4.429,21.6,31.2,25.5,85,0,8.7,"46.226,00",45.593,1.054.322
08-27-2022,4.429,21.6,30.8,25.3,82,0,6.2,"46.226,00",45.593,1.054.322
08-28-2022,4.429,23.3,-,25.5,81,8888,6,"46.226,00",45.593,1.054.322
08-29-2022,4.429,21.1,28,23.6,88,0,2.8,"46.226,00",45.593,1.054.322
08-30-2022,4.429,22.4,29.4,25.1,87,0,2.4,"46.226,00",45.593,1.054.322
08-31-2022,4.429,23.6,30.2,26,90,2,2.7,"46.226,00",45.593,1.054.322
09-01-2022,4.571,23,32.2,26.7,82,1,3.3,"46.226,00",45.593,1.054.322
09-02-2022,4.571,24,32,26.6,85,0,7,"46.226,00",45.593,1.054.322
09-03-2022,4.571,23.8,30.8,26.4,85,0,9.2,"46.226,00",45.593,1.054.322
09-04-2022,4.571,21.6,30.6,25.4,84,-,-,"46.226,00",45.593,1.054.322
09-05-2022,4.571,22.7,31,26.1,85,0,6.2,"46.226,00",45.593,1.054.322
09-06-2022,4.571,22.8,31.4,26.8,83,0,5.8,"46.226,00",45.593,1.054.322
09-07-2022,4.571,23,32.2,26.9,84,0,4.7,"46.226,00",45.593,1.054.322
09-08-2022,4.571,23,30.8,25.9,89,1,5.2,"46.226,00",45.593,1.054.322
09-09-2022,4.571,23,31.4,25.4,89,28,1.9,"46.226,00",45.593,1.054.322
09-10-2022,4.571,22.6,30.4,25.5,91,48.8,3,"46.226,00",45.593,1.054.322
09-11-2022,4.571,23.4,29.6,25.6,90,8.8,3.2,"46.226,00",45.593,1.054.322
09-12-2022,4.643,22.8,33.4,27.1,82,-,0.4,"46.226,00",45.593,1.054.322
09-13-2022,4.643,24,32.4,27.5,80,0,8.3,"46.226,00",45.593,1.054.322
09-14-2022,4.643,22.6,32.1,26.5,81,0,8.6,"46.226,00",45.593,1.054.322
09-15-2022,4.643,23.6,30.6,26.4,82,0,7.5,"46.226,00",45.593,1.054.322
09-16-2022,4.643,23.6,32.2,27.1,81,-,5.8,"46.226,00",45.593,1.054.322
09-17-2022,4.643,22.8,32.2,26.6,82,0,5.2,"46.226,00",45.593,1.054.322
09-18-2022,4.643,23,32,26.7,83,0,8.1,"46.226,00",45.593,1.054.322
09-19-2022,4.643,23.2,31.3,26.7,80,0,6.7,"46.226,00",45.593,1.054.322
09-20-2022,4.643,23.9,32,26.4,81,0,8.9,"46.226,00",45.593,1.054.322
09-21-2022,4.643,23.6,31.6,26.7,83,-,3.8,"46.226,00",45.593,1.054.322
09-22-2022,4.643,24,31.2,26.9,83,0,3.5,"46.226,00",45.593,1.054.322
09-23-2022,4.643,25.2,32,27.5,83,8888,3.8,"46.226,00",45.593,1.054.322
09-24-2022,4.643,24.2,31,26.9,85,6.6,5,"46.226,00",45.593,1.054.322
09-25-2022,4.643,24,32,27.1,80,-,7.4,"46.226,00",45.593,1.054.322
09-26-2022,4.643,24.2,31,26.3,85,8888,8.2,"46.226,00",45.593,1.054.322
09-27-2022,4.643,23.8,31,26.2,86,0.5,4.9,"46.226,00",45.593,1.054.322
09-28-2022,4.643,23,31.4,26.3,81,0,6.8,"46.226,00",45.593,1.054.322
09-29-2022,4.643,23.6,30.8,26.2,82,0,8.1,"46.226,00",45.593,1.054.322
09-30-2022,4.643,24.1,30,25.7,89,0.2,5.8,"46.226,00",45.593,1.054.322
10-01-2022,4.643,24.6,31,26.7,88,31.4,2.4,"46.226,00",45.593,1.054.322
10-02-2022,4.643,23,30.3,25.7,91,5,5.2,"46.226,00",45.593,1.054.322
10-03-2022,4.643,22.8,29.8,25.2,91,45,6,"46.226,00",45.593,1.054.322
10-04-2022,4.643,23.4,31,26.5,84,39.6,2.2,"46.226,00",45.593,1.054.322
10-05-2022,4.643,23.4,30,25.9,84,8888,6.4,"46.226,00",45.593,1.054.322
10-06-2022,4.643,23.7,29.4,25.9,87,0.6,3.3,"46.226,00",45.593,1.054.322
10-07-2022,4.643,23.6,30.2,25.4,94,1.1,2.8,"46.226,00",45.593,1.054.322
10-08-2022,4.643,23.8,30.2,25.9,91,20.2,1.9,"46.226,00",45.593,1.054.322
10-09-2022,4.643,23.1,30.4,25.6,91,8.8,1.7,"46.226,00",45.593,1.054.322
10-10-2022,4.643,23.2,30.8,26.2,90,10.1,2.4,"46.226,00",45.593,1.054.322
10-11-2022,4.643,24.2,31,26.1,90,0.5,4.4,"46.226,00",45.593,1.054.322
10-12-2022,4.643,23.2,29.6,25.9,87,8888,4.1,"46.226,00",45.593,1.054.322
10-13-2022,4.643,23.7,28.7,25.2,91,3.9,5.7,"46.226,00",45.593,1.054.322
10-14-2022,4.643,23.6,28.3,25,92,2,0.2,"46.226,00",45.593,1.054.322
10-15-2022,4.643,23.6,29.8,25.5,90,1.2,0.2,"46.226,00",45.593,1.054.322
10-16-2022,4.643,23.6,30.3,26.5,88,0.8,0.4,"46.226,00",45.593,1.054.322
10-17-2022,4.643,23.8,27,24.8,98,1,7.5,"46.226,00",45.593,1.054.322
10-18-2022,4.643,23.4,26.2,24.5,97,28.5,0,"46.226,00",45.593,1.054.322
10-19-2022,4.643,22.8,30.1,25.3,93,17,0,"46.226,00",45.593,1.054.322
10-20-2022,4.643,22.8,28.4,25.4,94,22.4,2.9,"46.226,00",45.593,1.054.322
10-21-2022,4.643,24.2,28,24.8,97,2.9,1.8,"46.226,00",45.593,1.054.322
10-22-2022,4.643,22.2,31.8,26.2,88,14.8,0,"46.226,00",45.593,1.054.322
10-23-2022,4.643,23.8,31.2,26.8,88,0,5,"46.226,00",45.593,1.054.322
10-24-2022,4.643,23.8,31.2,26,88,8888,6.4,"46.226,00",45.593,1.054.322
10-25-2022,4.643,23,31,25.8,90,2.3,4.5,"46.226,00",45.593,1.054.322
10-26-2022,4.643,22.7,28,24.1,94,16.6,5.2,"46.226,00",45.593,1.054.322
10-27-2022,4.643,22.4,29.2,25.1,89,7.6,0,"46.226,00",45.593,1.054.322
10-28-2022,4.643,23.2,30,25.6,84,0,6.5,"46.226,00",45.593,1.054.322
10-29-2022,4.643,21.8,28.2,24.1,91,-,8.4,"46.226,00",45.593,1.054.322
10-30-2022,4.643,22.6,27.4,24.5,88,2,3.3,"46.226,00",45.593,1.054.322
10-31-2022,4.643,22.2,30.4,26.1,84,8888,1.4,"46.226,00",45.593,1.054.322
11-01-2022,4.643,23.6,27.8,24.4,95,0.2,9.5,"46.226,00",45.593,1.054.322
11-02-2022,4.643,23.8,31.3,26.8,86,16.4,0,"46.226,00",45.593,1.054.322
11-03-2022,4.643,24.4,32.2,27.6,88,2,3.7,"46.226,00",45.593,1.054.322
11-04-2022,4.643,23,30.6,25.9,90,9.2,5,"46.226,00",45.593,1.054.322
11-05-2022,4.643,23.6,31.6,27.5,88,0.6,3.3,"46.226,00",45.593,1.054.322
11-06-2022,4.643,24.8,30.4,26.8,88,-,6.4,"46.226,00",45.593,1.054.322
11-07-2022,4.643,22.8,30.6,25.1,93,32.7,2.1,"46.226,00",45.593,1.054.322
11-08-2022,4.643,22.6,31.8,25.4,90,67.6,0.9,"46.226,00",45.593,1.054.322
11-09-2022,4.643,23.2,31.2,26,91,17.3,3.5,"46.226,00",45.593,1.054.322
11-10-2022,4.643,23.3,32.2,26.3,89,1.6,3,"46.226,00",45.593,1.054.322
11-11-2022,4.643,24,29,25.7,91,0.8,6,"46.226,00",45.593,1.054.322
11-12-2022,4.643,23.5,32.2,26,90,0,0,"46.226,00",45.593,1.054.322
11-13-2022,4.643,23.2,30,25.9,92,22.5,5.5,"46.226,00",45.593,1.054.322
11-14-2022,4.643,23.8,31.8,25.5,95,5,2.4,"46.226,00",45.593,1.054.322
11-15-2022,4.643,23,31.8,26.3,90,18.6,2.5,"46.226,00",45.593,1.054.322
11-16-2022,4.643,23.2,31.1,25.9,92,26,3.3,"46.226,00",45.593,1.054.322
11-17-2022,4.643,23.4,31.6,25.3,96,5,1.4,"46.226,00",45.593,1.054.322
11-18-2022,4.714,23.8,32.2,26.9,88,15.2,1.6,"46.226,00",45.593,1.054.322
11-19-2022,4.714,22,32.2,25.8,86,12.4,5.8,"46.226,00",45.593,1.054.322
11-20-2022,4.714,23.2,29.2,25.3,95,7.6,-,"46.226,00",45.593,1.054.322
11-21-2022,4.714,23.2,30.6,26,89,4.3,0,"46.226,00",45.593,1.054.322
11-22-2022,4.714,23.8,29.6,25.8,90,1.5,3.2,"46.226,00",45.593,1.054.322
11-23-2022,4.714,23,31.2,26.2,89,2.8,2.1,"46.226,00",45.593,1.054.322
11-24-2022,4.714,23.4,30.2,25.8,92,11.4,4.1,"46.226,00",45.593,1.054.322
11-25-2022,4.714,22.2,31,25.2,92,2.5,0.4,"46.226,00",45.593,1.054.322
11-26-2022,4.714,23.2,27.4,25,94,22.6,2.6,"46.226,00",45.593,1.054.322
11-27-2022,4.714,23,30.3,25.5,88,2.5,0,"46.226,00",45.593,1.054.322
11-28-2022,4.714,23.6,28,25,92,1,1.4,"46.226,00",45.593,1.054.322
11-29-2022,4.714,22.8,29.8,25.5,88,8888,0.3,"46.226,00",45.593,1.054.322
11-30-2022,4.714,23,26.2,23.8,96,32.3,4.7,"46.226,00",45.593,1.054.322
12-01-2022,4.714,22.8,30.6,25.8,86,16.2,0,"46.226,00",45.593,1.054.322
12-02-2022,4.714,22.6,31,26.5,85,-,9.4,"46.226,00",45.593,1.054.322
12-03-2022,4.714,23.8,29.8,26.2,87,2.8,4.6,"46.226,00",45.593,1.054.322
12-04-2022,4.714,24,31.4,27,87,-,1.6,"46.226,00",45.593,1.054.322
12-05-2022,4.714,23.6,31,24.8,94,10,4.2,"46.226,00",45.593,1.054.322
12-06-2022,4.714,22.8,31.6,25.2,93,48.1,2.3,"46.226,00",45.593,1.054.322
12-07-2022,4.714,22.8,32.2,26.3,90,25,2.1,"46.226,00",45.593,1.054.322
12-08-2022,4.714,24,30.8,26.4,90,46.3,2.5,"46.226,00",45.593,1.054.322
12-09-2022,4.714,23.4,32.1,27.2,86,0,2.1,"46.226,00",45.593,1.054.322
12-10-2022,4.714,23.4,31.2,26.5,87,0,8.2,"46.226,00",45.593,1.054.322
12-11-2022,4.714,23.4,31.4,26.4,86,-,6.5,"46.226,00",45.593,1.054.322
12-12-2022,4.714,23.4,31.2,26.7,87,11.8,4.2,"46.226,00",45.593,1.054.322
12-13-2022,4.714,23.8,31.2,26.8,88,2.6,4.4,"46.226,00",45.593,1.054.322
12-14-2022,4.714,23.8,31,26.2,91,3.7,4.6,"46.226,00",45.593,1.054.322
12-15-2022,4.714,24,30.6,26.2,89,13,4.1,"46.226,00",45.593,1.054.322
12-16-2022,4.714,23.8,30.8,26.1,89,3.1,3.9,"46.226,00",45.593,1.054.322
12-17-2022,4.714,23,32.7,27.2,84,0.5,1.9,"46.226,00",45.593,1.054.322
12-18-2022,4.714,24,32.4,27.5,83,-,9.8,"46.226,00",45.593,1.054.322
12-19-2022,4.714,23.8,31.7,26.9,84,0,10,"46.226,00",45.593,1.054.322
12-20-2022,4.714,23.6,32.4,28,81,-,5.7,"46.226,00",45.593,1.054.322
12-21-2022,4.714,24.1,32.7,27.7,86,0,9.7,"46.226,00",45.593,1.054.322
12-22-2022,4.714,23.8,30,25.6,93,11.1,9.4,"46.226,00",45.593,1.054.322
12-23-2022,4.714,22.8,31,24.9,94,18.6,0.9,"46.226,00",45.593,1.054.322
12-24-2022,4.714,-,30.4,25.5,92,12.8,0,"46.226,00",45.593,1.054.322
12-25-2022,4.714,23.6,29.2,25.4,95,10,2.2,"46.226,00",45.593,1.054.322
12-26-2022,4.714,23.8,28,24.7,96,8.4,0,"46.226,00",45.593,1.054.322
12-27-2022,4.714,22.5,28.8,24.8,94,75.5,0,"46.226,00",45.593,1.054.322
12-28-2022,4.714,23.2,29.7,25.2,95,10.1,0.2,"46.226,00",45.593,1.054.322
12-29-2022,4.714,23,30.6,26,94,30,1.5,"46.226,00",45.593,1.054.322
12-30-2022,4.714,24,29.8,26.5,92,1.5,1.6,"46.226,00",45.593,1.054.322
12-31-2022,4.714,23.1,30.8,25.3,93,0,0,"46.226,00",45.593,1.054.322
01-01-2023,4.714,23,32.2,26.6,89,8888,0.4,"46.226,00",46.423,983.993
01-02-2023,4.714,23.9,31.2,26.9,85,2.8,2.6,"18.807,01",46.423,983.993
01-03-2023,4.714,23.9,29.2,26.1,90,10.5,0.1,"18.807,01",46.423,983.993
01-04-2023,4.714,23.2,30,26.2,90,4.5,0.2,"18.807,01",46.423,983.993
01-05-2023,4.714,-,29.4,25.6,94,26.5,3.8,"18.807,01",46.423,983.993
01-06-2023,4.714,23.4,30.2,26.2,91,13.2,0.3,"18.807,01",46.423,983.993
01-07-2023,4.714,24.2,31,26.3,90,12,4,"18.807,01",46.423,983.993
01-08-2023,4.714,23.1,30.7,26.6,90,21.1,5.2,"18.807,01",46.423,983.993
01-09-2023,4.714,24.5,31,26.9,87,0,9.1,"18.807,01",46.423,983.993
01-10-2023,4.714,24,30.6,26.3,92,0,6.6,"18.807,01",46.423,983.993
01-11-2023,4.714,23.7,30.8,26.4,88,0.8,4.1,"18.807,01",46.423,983.993
01-12-2023,4.714,23.4,32,26.5,84,-,5,"18.807,01",46.423,983.993
01-13-2023,4.714,23.6,31.6,27,85,0,9.3,"18.807,01",46.423,983.993
01-14-2023,4.714,23,31.8,26.8,85,0,9.5,"18.807,01",46.423,983.993
01-15-2023,4.714,24.2,31.2,26.8,87,0,9.7,"18.807,01",46.423,983.993
01-16-2023,4.714,24.1,31.1,26.4,90,1.8,4.8,"18.807,01",46.423,983.993
01-17-2023,4.714,24.4,30,26.5,90,3.7,2.6,"18.807,01",46.423,983.993
01-18-2023,4.714,23.8,30.4,26.5,88,0.5,2,"18.807,01",46.423,983.993
01-19-2023,4.714,23.8,31.4,26.9,87,0,2.4,"18.807,01",46.423,983.993
01-20-2023,4.714,23.3,31.6,26.3,88,8888,8.1,"18.807,01",46.423,983.993
01-21-2023,4.714,23.2,31.8,26.1,88,0.8,3.6,"18.807,01",46.423,983.993
01-22-2023,4.714,23.5,30.4,26.3,91,8888,6.5,"18.807,01",46.423,983.993
01-23-2023,4.714,23.2,32.2,26.8,86,10,3.5,"18.807,01",46.423,983.993
01-24-2023,4.714,24.2,32.4,27.2,86,0,9,"18.807,01",46.423,983.993
01-25-2023,4.714,24.1,30.2,26.2,91,0.6,7.1,"18.807,01",46.423,983.993
01-26-2023,4.714,23.6,30.4,25.7,90,19.2,3.4,"18.807,01",46.423,983.993
01-27-2023,4.714,23.5,29.8,25.9,92,38.5,0.7,"18.807,01",46.423,983.993
01-28-2023,4.714,23.8,30.3,25.8,93,8888,0.6,"18.807,01",46.423,983.993
01-29-2023,4.714,23.3,31.4,25.5,93,2.7,0,"18.807,01",46.423,983.993
01-30-2023,4.714,23.8,30,26.2,94,34.3,2.1,"18.807,01",46.423,983.993
01-31-2023,4.714,24.2,31.4,26,94,6.1,0.4,"18.807,01",46.423,983.993
02-01-2023,4.714,23.2,31.2,25.8,92,8.9,1.9,"18.807,01",46.423,983.993
02-02-2023,4.714,23.4,31.6,26.3,89,10.2,2.6,"18.807,01",46.423,983.993
02-03-2023,4.714,22.4,30,25.6,90,39.2,0.8,"18.807,01",46.423,983.993
02-04-2023,4.714,24,30.4,26.2,90,8888,0.7,"18.807,01",46.423,983.993
02-05-2023,4.714,24,31.6,26.7,86,23.8,0.3,"18.807,01",46.423,983.993
02-06-2023,4.714,24,31,26.8,86,0,3,"18.807,01",46.423,983.993
02-07-2023,4.714,23.2,32,25.9,88,11.5,1.9,"18.807,01",46.423,983.993
02-08-2023,4.714,23.2,31.4,25.5,93,18.2,5.1,"18.807,01",46.423,983.993
02-09-2023,4.714,23.5,30.4,25.7,91,17.8,3,"18.807,01",46.423,983.993
02-10-2023,4.714,22.8,31.2,25.8,90,7,2.3,"18.807,01",46.423,983.993
02-11-2023,4.714,23.2,32,25.5,93,3.3,2.6,"18.807,01",46.423,983.993
02-12-2023,4.714,23,31.4,24,96,33.2,2.4,"18.807,01",46.423,983.993
02-13-2023,4.714,23,31,25.7,91,43.1,3.8,"18.807,01",46.423,983.993
02-14-2023,4.714,23,30.6,25.6,92,51.3,1.8,"18.807,01",46.423,983.993
02-15-2023,4.714,23,29.6,25.3,93,26,5.4,"18.807,01",46.423,983.993
02-16-2023,4.714,23,31.2,25.3,94,38.7,2.3,"18.807,01",46.423,983.993
02-17-2023,4.714,23.4,31.2,25.9,90,4.2,2.5,"18.807,01",46.423,983.993
02-18-2023,4.714,23.5,30.8,26.3,89,3.9,5.2,"18.807,01",46.423,983.993
02-19-2023,4.714,-,32,26.8,87,0.2,6.1,"18.807,01",46.423,983.993
02-20-2023,4.714,23.8,31,26.3,88,0,10.2,"18.807,01",46.423,983.993
02-21-2023,4.714,22.9,32.4,26.5,87,0,6.8,"18.807,01",46.423,983.993
02-22-2023,4.714,23,31.2,26.8,90,0,9.5,"18.807,01",46.423,983.993
02-23-2023,4.714,23.8,31,26.5,91,8888,4.6,"18.807,01",46.423,983.993
02-24-2023,4.714,24.3,30.7,26.4,93,2.1,5.4,"18.807,01",46.423,983.993
02-25-2023,4.714,23,31.6,26,92,6.8,1.8,"18.807,01",46.423,983.993
02-26-2023,4.714,23.8,31,26.8,92,13.5,4.6,"18.807,01",46.423,983.993
02-27-2023,4.714,23.4,30.4,25.9,91,12.4,1.7,"18.807,01",46.423,983.993
02-28-2023,4.714,23.4,31.8,25.4,94,0,2.2,"18.807,01",46.423,983.993
03-01-2023,4.714,23.2,28,25.5,91,3.4,1.8,"18.807,01",46.423,983.993
03-02-2023,4.714,23.6,28,25.4,94,85,0,"18.807,01",46.423,983.993
03-03-2023,4.714,23,31.6,26.2,85,22.6,0,"18.807,01",46.423,983.993
03-04-2023,4.714,22.9,30.6,26,88,34.8,6.8,"18.807,01",46.423,983.993
03-05-2023,4.714,23.3,31,26.4,88,0,3.9,"18.807,01",46.423,983.993
03-06-2023,4.714,23.6,31.3,26.4,88,5,1.5,"18.807,01",46.423,983.993
03-07-2023,4.714,23.2,31.5,26.9,86,-,7.6,"18.807,01",46.423,983.993
03-08-2023,4.714,23.6,31.6,26.5,88,0,9.2,"18.807,01",46.423,983.993
03-09-2023,4.714,23.3,31.8,26.7,88,-,8.1,"18.807,01",46.423,983.993
03-10-2023,4.714,23.8,32.4,27,87,0,7.2,"18.807,01",46.423,983.993
03-11-2023,4.714,24.6,32.6,27.8,85,-,9.9,"18.807,01",46.423,983.993
03-12-2023,4.714,18.8,32.8,26.6,86,0,8.7,"18.807,01",46.423,983.993
03-13-2023,4.714,22.8,32.5,26.8,83,0,10.3,"18.807,01",46.423,983.993
03-14-2023,4.714,23,32,26.3,86,0,10.1,"18.807,01",46.423,983.993
03-15-2023,4.714,23.2,33.4,27.1,83,0,9.7,"18.807,01",46.423,983.993
03-16-2023,4.714,24.2,32.8,27.8,88,0.4,3.1,"18.807,01",46.423,983.993
03-17-2023,4.714,24.8,32.3,26,92,-,3.3,"18.807,01",46.423,983.993
03-18-2023,4.714,18,32.8,26.1,91,9.3,1.7,"18.807,01",46.423,983.993
03-19-2023,4.714,23.9,31.8,26.3,91,11,5,"18.807,01",46.423,983.993
03-20-2023,4.714,24.2,32.2,26.2,90,-,4.4,"18.807,01",46.423,983.993
03-21-2023,4.714,23,33,27.1,88,0.5,4.8,"18.807,01",46.423,983.993
03-22-2023,4.714,23,33.2,27,88,0,7.2,"18.807,01",46.423,983.993
03-23-2023,4.714,24.2,32.8,26.7,90,17,3.8,"18.807,01",46.423,983.993
03-24-2023,4.714,19.4,33,26.8,90,1.8,2.8,"18.807,01",46.423,983.993
03-25-2023,4.714,23.8,32,26,91,0,5,"18.807,01",46.423,983.993
03-26-2023,4.714,23,32.8,26.1,88,3.1,6.1,"18.807,01",46.423,983.993
03-27-2023,4.714,23.2,30,24.5,97,13.7,6.4,"18.807,01",46.423,983.993
03-28-2023,4.714,22.9,31.4,26.2,88,13.8,2.3,"18.807,01",46.423,983.993
03-29-2023,4.714,22,32.7,26.6,85,1,4.6,"18.807,01",46.423,983.993
03-30-2023,4.714,23,33.6,26.2,90,1,6.7,"18.807,01",46.423,983.993
03-31-2023,4.714,23.9,32,27.1,87,39.6,5.6,"18.807,01",46.423,983.993
04-01-2023,4.714,20.4,32.2,24.7,94,2.3,3.4,"18.807,01",46.423,983.993
04-02-2023,4.714,23.2,32,26.4,90,15.7,2.4,"18.807,01",46.423,983.993
04-03-2023,4.714,24,31.6,26.3,92,0.5,6,"18.807,01",46.423,983.993
04-04-2023,4.714,23.5,31.4,26.5,86,2.1,4.7,"18.807,01",46.423,983.993
04-05-2023,4.714,22.4,31.8,26.3,86,0,6.8,"18.807,01",46.423,983.993
04-06-2023,4.714,25.2,31.6,27.2,86,-,8.8,"18.807,01",46.423,983.993
04-07-2023,4.714,24.5,31.8,27.2,86,0,7.9,"18.807,01",46.423,983.993
04-08-2023,4.714,23.6,31.6,26.9,88,-,2.9,"18.807,01",46.423,983.993
04-09-2023,4.714,22.8,32.2,26.8,84,0,7.8,"18.807,01",46.423,983.993
04-10-2023,4.714,23.8,30.4,26.4,90,8,8.9,"18.807,01",46.423,983.993
04-11-2023,4.714,23.8,30.8,26.3,88,1.2,6.5,"18.807,01",46.423,983.993
